;classifier;resampler;selection_algorithm;accuracy;precision;recall;auc;duration
27;"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=3, p=2, weights='distance')";none;fisher;0.9289473684210526;0.4;0.16;0.5971830985915493;0.0014387179535333416
28;"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2, weights='distance')";none;variance;0.9421052631578948;1.0;0.12;0.56;0.003886074472575274
29;"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2, weights='distance')";none;fisher;0.9263157894736842;0.3333333333333333;0.12;0.56;0.0015081223000379396
30;"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=7, p=2, weights='distance')";none;variance;0.9394736842105263;1.0;0.08;0.54;0.005611512019640941
31;"KNeighborsClassifier(algorithm='kd_tree', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=7, p=2, weights='distance')";none;fisher;0.9289473684210526;0.375;0.12;0.54;0.0025008319989865413
32;"KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=1, p=2, weights='uniform')";none;variance;0.9184210526315789;0.375;0.36;0.6588732394366197;0.00368867030920228
33;"KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=1, p=2, weights='uniform')";none;fisher;0.9078947368421053;0.2727272727272727;0.24;0.6588732394366197;0.0058612538859961205
34;"KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=3, p=2, weights='uniform')";none;variance;0.9421052631578948;0.7142857142857143;0.2;0.5971830985915493;0.005055139477008197
35;"KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=3, p=2, weights='uniform')";none;fisher;0.9394736842105263;1.0;0.08;0.5971830985915493;0.0044634958749156795
36;"KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2, weights='uniform')";none;variance;0.9394736842105263;1.0;0.08;0.54;0.005980151495350583
37;"KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2, weights='uniform')";none;fisher;0.9342105263157895;0.0;0.0;0.54;0.006775457030926191
38;"KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=7, p=2, weights='uniform')";none;variance;0.9394736842105263;1.0;0.08;0.54;0.005646214191983745
39;"KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=7, p=2, weights='uniform')";none;fisher;0.9342105263157895;0.0;0.0;0.54;0.006587723964003089
40;"KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=1, p=2, weights='distance')";none;variance;0.9184210526315789;0.375;0.36;0.6588732394366197;0.004110785263947037
41;"KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=1, p=2, weights='distance')";none;fisher;0.9078947368421053;0.2727272727272727;0.24;0.6588732394366197;0.004614820103597594
42;"KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=3, p=2, weights='distance')";none;variance;0.9421052631578948;0.7142857142857143;0.2;0.5971830985915493;0.004781504310813034
43;"KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=3, p=2, weights='distance')";none;fisher;0.9289473684210526;0.4;0.16;0.5971830985915493;0.004638713402528083
44;"KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2, weights='distance')";none;variance;0.9421052631578948;1.0;0.12;0.56;0.00462164676082466
45;"KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2, weights='distance')";none;fisher;0.9263157894736842;0.3333333333333333;0.12;0.56;0.004963548496561998
46;"KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=7, p=2, weights='distance')";none;variance;0.9394736842105263;1.0;0.08;0.54;0.005901076051486598
47;"KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=7, p=2, weights='distance')";none;fisher;0.9289473684210526;0.375;0.12;0.54;0.005530729911697563
