;classifier;resampler;selection_algorithm;accuracy;precision;recall;auc;duration
0;GaussianNB(priors=None);"SMOTE(k=3, k_neighbors=3, kind='regular', m=None, m_neighbors=10, n_jobs=1, out_step=0.5, random_state=None, ratio='auto', svm_estimator=None)";variance;0.5868421052631579;0.11627906976744186;0.8;0.6859154929577466;0.001198647184537549
1;GaussianNB(priors=None);"SMOTE(k=3, k_neighbors=3, kind='regular', m=None, m_neighbors=10, n_jobs=1, out_step=0.5, random_state=None, ratio='auto', svm_estimator=None)";fisher;0.7684210526315789;0.5734945903610069;0.68;0.6859154929577466;0.000901687606528867
2;BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True);"SMOTE(k=3, k_neighbors=3, kind='regular', m=None, m_neighbors=10, n_jobs=1, out_step=0.5, random_state=None, ratio='auto', svm_estimator=None)";variance;0.5684210526315789;0.11173184357541899;0.8;0.676056338028169;0.003337097476105555
3;BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True);"SMOTE(k=3, k_neighbors=3, kind='regular', m=None, m_neighbors=10, n_jobs=1, out_step=0.5, random_state=None, ratio='auto', svm_estimator=None)";fisher;0.5684210526315789;0.5524950764195168;0.88;0.676056338028169;0.0020349126616565627
4;GaussianNB(priors=None);ADASYN(k=3, n_jobs=1, n_neighbors=3, random_state=None, ratio='auto');variance;0.5605263157894737;0.11413043478260869;0.84;0.6904225352112675;0.0013095803597025224
5;GaussianNB(priors=None);ADASYN(k=3, n_jobs=1, n_neighbors=3, random_state=None, ratio='auto');fisher;0.7526315789473684;0.5729870129870129;0.72;0.6904225352112675;0.0009921408118316322
6;BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True);ADASYN(k=3, n_jobs=1, n_neighbors=3, random_state=None, ratio='auto');variance;0.5842105263157895;0.12429378531073447;0.88;0.7216901408450704;0.002600956300739199
7;BernoulliNB(alpha=1.0, binarize=0.0, class_prior=None, fit_prior=True);ADASYN(k=3, n_jobs=1, n_neighbors=3, random_state=None, ratio='auto');fisher;0.5684210526315789;0.5524950764195168;0.88;0.7216901408450704;0.0020991970150134875
